Позиция в рейтинге	Изменение позиции в рейтинге	Название банка	Номер лицензии	Регион регистрации	Декабрь, 2015, тыс. рублей	Январь, 2013, тыс. рублей	Изменение, тыс. рублей	Изменение, %
1	0	Сбербанк России	1481	Москва и обл.	22433146804	14082252862	8350893942	59.3
2	0	ВТБ	1000	Санкт-Петербург и обл.	8742464567	4338506970	4403957597	101.51
3	0	Газпромбанк	354	Москва и обл.	4984239100	2814389584	2169849516	77.1
4	2	ВТБ 24	1623	Москва и обл.	2873642255	1511500758	1362141497	90.12
5	6	ФК Открытие	2209	Москва и обл.	2813360795	658177268	2155183527	327.45
6	-2	Россельхозбанк	3349	Москва и обл.	2551779006	1672771138	879007868	52.55
7	0	Альфа-Банк	1326	Москва и обл.	2166341765	1377045587	789296178	57.32
8	-3	Банк Москвы	2748	Москва и обл.	1753618069	1520101934	233516135	15.36
9	23	Национальный Клиринговый Центр	3466	Москва и обл.	1397028289	211699749	1185328540	559.91
10	-2	ЮниКредит Банк	1	Москва и обл.	1320713756	886111726	434602030	49.05
11	-2	Промсвязьбанк	3251	Москва и обл.	1221401758	703512015	517889743	73.61
12	8	Московский Кредитный Банк	1978	Москва и обл.	1113736506	320218464	793518042	247.81
13	-3	Росбанк	2272	Москва и обл.	885949682	694965066	190984616	27.48
14	-2	Райффайзенбанк	3292	Москва и обл.	874085221	636129628	237955593	37.41
15	23	Бинбанк	2562	Москва и обл.	756341388	164032856	592308532	361.09
16	5	Россия	328	Санкт-Петербург и обл.	558480227	320073599	238406628	74.48
17	-2	Банк «Санкт-Петербург»	436	Санкт-Петербург и обл.	549187807	377459109	171728698	45.5
18	5	Ханты-Мансийский банк Открытие	1971	Москва и обл.	511498142	298476987	213021155	71.37
19	40	Совкомбанк	963	Костромская обл.	491838800	97772413	394066387	403.04
20	-3	Ак Барс	2590	Татарстан	488877251	342762257	146114994	42.63
21	77	Московский Областной Банк	1751	Москва и обл.	464808093	44006519	420801574	956.23
22	0	Русский Стандарт	2289	Москва и обл.	460563326	301700094	158863232	52.66
23	-4	Ситибанк	2557	Москва и обл.	419809025	326162434	93646591	28.71
24	6	ИНГ Банк	2495	Москва и обл.	402937298	221820082	181117216	81.65
25	156	Рост Банк	2888	Москва и обл.	383248497	18296499	364951998	1994.65
26	-2	Связь-Банк	1470	Москва и обл.	369750955	269560402	100190553	37.17
27	-2	Нордеа Банк	3016	Москва и обл.	369124223	265476257	103647966	39.04
28	6	Национальный Банк «Траст»	3279	Москва и обл.	347406759	183375283	164031476	89.45
29	12	Уральский Банк Реконструкции и Развития	429	Свердловская обл.	346364159	147422942	198941217	134.95
30	-14	МДМ Банк	323	Москва и обл.	341635505	369245138	-27609633	-7.48
31	9	СМП Банк	3368	Москва и обл.	339534034	147603845	191930189	130.03
32	240	Югра	880	Ханты-Мансийский АО — Югра	327614178	9692523	317921655	3280.07
33	-7	Глобэкс	1942	Москва и обл.	284040902	236339119	47701783	20.18
34	-5	Зенит	3255	Москва и обл.	276777867	226905452	49872415	21.98
35	41	Всероссийский Банк Развития Регионов	3287	Москва и обл.	276530892	74287442	202243450	272.24
36	7	Новикомбанк	2546	Москва и обл.	275293911	130481520	144812391	110.98
37	9	Внешпромбанк	3261	Москва и обл.	274902436	117442614	157459822	134.07
38	-20	Хоум Кредит Банк	316	Москва и обл.	266352218	331652350	-65300132	-19.69
39	12	Абсолют Банк	2306	Москва и обл.	263012461	110483276	152529185	138.06
40	-13	Восточный Экспресс Банк	1460	Амурская обл.	226081496	233182612	-7101116	-3.05
41	3	Транскапиталбанк (ТКБ)	2210	Москва и обл.	223926661	122646212	101280449	82.58
42	-7	Московский Индустриальный Банк	912	Москва и обл.	219298948	172675164	46623784	0.27
43	-12	Возрождение	1439	Москва и обл.	217271750	221393243	-4121493	-1.86
44	14	Российский Капитал	2312	Москва и обл.	216520126	100318559	116201567	115.83
45	8	Татфондбанк	3058	Татарстан	201896350	108152554	93743796	86.68
46	22	Пересвет	2110	Москва и обл.	173689535	84625399	89064136	105.25
47	-8	ОТП Банк	2766	Москва и обл.	170545308	158934553	11610755	7.31
48	-11	МТС Банк	2268	Москва и обл.	165189870	168131059	-2941189	-1.75
49	-4	Кредит Европа Банк	3311	Москва и обл.	160362358	120512039	39850319	33.07
50	-3	РосЕвроБанк	3137	Москва и обл.	157642303	116715944	40926359	35.06
51	20	ДельтаКредит	3338	Москва и обл.	154603293	80169491	74433802	92.85
52	-3	Национальный Расчетный Депозитарий	3294	Москва и обл.	152226739	112653228	39573511	35.13
53	-5	МСП Банк	3340	Москва и обл.	151174289	115891829	35282460	30.44
54	7	Азиатско-Тихоокеанский Банк	1810	Амурская обл.	149712338	91033983	58678355	64.46
55	19	Тинькофф Банк	2673	Москва и обл.	147558418	75414961	72143457	95.66
56	9	Ренессанс Кредит	3354	Москва и обл.	146452707	89492688	56960019	63.65
57	-1	Росгосстрах Банк	3073	Москва и обл.	139433405	103668352	35765053	34.5
58	-6	Авангард	2879	Москва и обл.	138309498	110130208	28179290	25.59
59	40	Экспресс-Волга	3085	Саратовская обл.	127934576	43477455	84457121	194.25
60	34	Сургутнефтегазбанк	588	Ханты-Мансийский АО — Югра	124621375	50524562	74096813	146.66
61	-11	Инвестторгбанк	2763	Москва и обл.	124351866	111382988	12968878	11.64
62	-20	СКБ-Банк	705	Свердловская обл.	123055317	135371008	-12315691	-9.1
63	25	Международный Финансовый Клуб	2618	Москва и обл.	109054367	53092901	55961466	105.4
64	-9	Русфинанс Банк	1792	Самарская обл.	107382590	107935177	-552587	-0.51
65	14	ЦентроКредит	121	Москва и обл.	105749132	72157363	33591769	46.55
66	68	Сетелем Банк	2168	Москва и обл.	102941708	27408447	75533261	275.58
67	-1	Запсибкомбанк	918	Тюменская обл.	101284015	87519776	13764239	15.73
68	27	Интеркоммерц Банк	1657	Москва и обл.	101183817	47517935	53665882	112.94
69	-5	БНП Париба Банк	3407	Москва и обл.	101157539	89537170	11620369	12.98
70	21	Креди Агриколь КИБ	1680	Санкт-Петербург и обл.	99069353	51263618	47805735	93.25
71	-4	Балтийский Банк	128	Санкт-Петербург и обл.	97386906	84821302	12565604	14.81
72	0	Союз	2307	Москва и обл.	92553232	79129303	13423929	16.96
73	5	Локо-Банк	2707	Москва и обл.	92227894	72555717	19672177	27.11
74	12	Банк БФА	3038	Санкт-Петербург и обл.	89467395	56183522	33283873	59.24
75	6	Центр-инвест	2225	Ростовская обл.	89213336	64581199	24632137	38.14
76	76	РосинтерБанк	226	Москва и обл.	88805929	23122638	65683291	284.06
77	-41	Дойче Банк	3328	Москва и обл.	86758352	170515233	-83756881	-49.12
78	14	Бинбанк кредитные карты	2827	Москва и обл.	81251914	51038703	30213211	59.2
79	21	Таврический	2304	Санкт-Петербург и обл.	79711638	43472351	36239287	83.36
80	264	Банк Финсервис	3388	Москва и обл.	75121926	6463743	68658183	1062.20
81	134	Военно-Промышленный Банк	3065	Москва и обл.	73672261	15213889	58458372	384.24
82	-12	Банк Интеза	2216	Москва и обл.	73568451	81724535	-8156084	-9.98
83	622	Лето Банк	650	Москва и обл.	72211281	1195546	71015735	5940.03
84	-27	Эйч-Эс-Би-Си Банк (HSBC)	3290	Москва и обл.	71604307	101728610	-30124303	-29.61
85	137	АйСиБиСи Банк	3475	Москва и обл.	67242735	14266435	52976300	371.34
86	54	БФГ-Кредит	3068	Москва и обл.	65593923	25207031	40386892	160.22
87	-5	Металлинвестбанк	2440	Москва и обл.	65108438	63412208	1696230	2.67
88	-25	Юниаструм Банк	2771	Москва и обл.	64389462	90427375	-26037913	-28.79
89	39	Экспобанк	2998	Москва и обл.	64225502	30541437	33684065	110.29
90	12	Кубань Кредит	2518	Краснодарский край	63121464	42981620	20139844	46.86
91	63	Аверс	415	Татарстан	61242389	22928941	38313448	167.1
92	525	Российский Национальный Коммерческий Банк	1354	Симферополь	59657999	1773061	57884938	3264.69
93	51	Образование	1521	Москва и обл.	59496856	24879661	34617195	139.14
94	-11	Балтинвестбанк	3176	Санкт-Петербург и обл.	55956172	62468221	-6512049	-10.42
95	28	Росэнергобанк	2211	Москва и обл.	55509246	31213655	24295591	77.84
96	133	Бэнк оф Чайна	2309	Москва и обл.	55508094	12986973	42521121	327.41
97	-8	Международный Банк Санкт-Петербурга (МБСП)	197	Санкт-Петербург и обл.	53566090	52056401	1509689	2.9
98	84	Финпромбанк (ФПБ Банк)	2157	Москва и обл.	51505239	18201287	33303952	182.98
99	-9	Национальный Стандарт	3421	Москва и обл.	50892858	51687335	-794477	-1.54
100	5	Межтопэнергобанк	2956	Москва и обл.	49962227	37670059	12292168	32.63
101	2	Тойота Банк	3470	Москва и обл.	49878296	40789634	9088662	22.28
102	660	РН Банк	170	Москва и обл.	48401349	879242	47522107	5404.90
103	-18	Первобанк	3461	Самарская обл.	48267827	57180933	-8913106	-15.59
104	11	Фора-Банк	1885	Москва и обл.	47724048	33533818	14190230	42.32
105	4	Коммерцбанк (Евразия)	3333	Москва и обл.	47678680	34706431	12972249	37.38
106	11	СДМ-Банк	1637	Москва и обл.	47658112	33150606	14507506	43.76
107	83	БКС — Инвестиционный Банк	101	Новосибирская обл.	46704165	17199380	29504785	171.55
108	-15	Меткомбанк (Каменск-Уральский)	2443	Свердловская обл.	46001656	51015742	-5014086	-9.83
109	92	Газэнергобанк	3252	Калужская обл.	45422607	15997567	29425040	183.93
110	53	Сумитомо Мицуи	3494	Москва и обл.	45383679	21594408	23789271	110.16
111	24	Банк «МБА-Москва»	3395	Москва и обл.	45259943	26984069	18275874	67.73
112	58	ББР Банк	2929	Москва и обл.	44244585	20723965	23520620	113.49
113	34	Интерпрогрессбанк	600	Москва и обл.	43524275	24453765	19070510	77.99
114	154	Росэксимбанк	2790	Москва и обл.	43347831	9873735	33474096	339.02
115	-8	Примсоцбанк	2733	Приморский край	42378648	35803131	6575517	18.37
116	-6	Челиндбанк	485	Челябинская обл.	42296224	33959957	8336267	24.55
117	-9	Челябинвестбанк	493	Челябинская обл.	41523327	34975801	6547526	18.72
118	-56	Еврофинанс Моснарбанк	2402	Москва и обл.	40506119	90491009	-49984890	-55.24
119	46	Первый Чешско-Российский Банк	3291	Москва и обл.	39671737	21436247	18235490	85.07
120	2	Левобережный	1343	Новосибирская обл.	39463214	31718714	7744500	24.42
121	-7	Меткомбанк (Череповец)	901	Вологодская обл.	38586489	33650306	4936183	14.67
122	-11	Кольцо Урала	65	Свердловская обл.	38152691	33944479	4208212	12.4
123	-26	НС Банк	3124	Москва и обл.	37195488	45287894	-8092406	-17.87
124	-8	Саровбизнесбанк	2048	Нижегородская обл.	36251912	33232110	3019802	9.09
125	6	Интерпромбанк	3266	Москва и обл.	36169587	29253543	6916044	23.64
126	51	Фольксваген Банк Рус	3500	Москва и обл.	36107718	18986393	17121325	90.18
127	-9	Русский Международный Банк	3123	Москва и обл.	35266316	32835242	2431074	7.4
128	23	Советский	558	Санкт-Петербург и обл.	35250592	23220496	12030096	51.81
129	21	Русстройбанк	3205	Москва и обл.	33893169	23708325	10184844	42.96
130	11	Натиксис Банк	3390	Москва и обл.	32853934	25041123	7812811	31.2
131	64	Держава	2738	Москва и обл.	32075114	16605547	15469567	93.16
132	14	М2М Прайвет Банк	1414	Москва и обл.	31904419	24567866	7336553	29.86
133	-13	Кедр	1574	Красноярский край	31547376	32501996	-954620	-2.94
134	-9	Банк СГБ	2816	Вологодская обл.	31312164	30741231	570933	1.86
135	-58	Собинбанк	1317	Москва и обл.	31244778	72611320	-41366542	-56.97
136	6	Приморье	3001	Приморский край	30705340	24954473	5750867	23.05
137	24	Кредит Урал Банк	2584	Челябинская обл.	30445313	22108278	8337035	37.71
138	50	Тольяттихимбанк	2507	Самарская обл.	30315516	17376643	12938873	74.46
139	54	Мерседес-Бенц Банк Рус	3473	Москва и обл.	29727447	16812884	12914563	76.81
140	-1	БыстроБанк	1745	Удмуртия	29712502	25662433	4050069	15.78
141	46	Интехбанк	2705	Татарстан	29346043	17432545	11913498	68.34
142	-36	Дальневосточный Банк	843	Приморский край	29323206	37625908	-8302702	-22.07
143	109	ОФК Банк	2270	Москва и обл.	29048175	10639915	18408260	173.01
144	13	Солидарность (Самара)	554	Самарская обл.	28750476	22593245	6157231	27.25
145	75	АйМаниБанк	1975	Москва и обл.	28490801	14629717	13861084	94.75
146	86	Московское Ипотечное Агентство	3344	Москва и обл.	28376576	12818771	15557805	121.37
147	-17	Газбанк	2316	Самарская обл.	28091508	29641660	-1550152	-5.23
148	209	Объединенный Капитал	2611	Санкт-Петербург и обл.	27721751	5925715	21796036	367.82
149	491	Инвестиционный Республиканский Банк	2571	Москва и обл.	27502928	1593591	25909337	1625.85
150	5	Девон-Кредит	1972	Татарстан	27387771	22733317	4654454	20.47
151	187	Ишбанк	2867	Москва и обл.	27148006	6593528	20554478	311.74
152	44	Плюс Банк	1189	Москва и обл.	26650277	16455062	10195215	61.96
153	-4	Акибанк	2587	Татарстан	26607584	23921588	2685996	11.23
154	6	Москоммерцбанк	3365	Москва и обл.	26260376	22359444	3900932	17.45
155	55	АктивКапитал Банк	3006	Самарская обл.	25967510	15455177	10512333	68.02
156	-20	Липецккомбанк	1242	Липецкая обл.	25605653	26402539	-796886	-3.02
157	-56	Королевский Банк Шотландии	2594	Москва и обл.	25218457	43083878	-17865421	-41.47
158	11	Тимер Банк	1581	Татарстан	25215968	20797227	4418741	21.25
159	26	Легион	3117	Москва и обл.	25019364	17683334	7336030	41.49
160	-23	Агропромкредит	2880	Москва и обл.	24977236	26223366	-1246130	-4.75
161	3	Уральский Финансовый Дом	249	Пермская обл.	24643264	21588683	3054581	14.15
162		Чайна Констракшн	3515	Москва и обл.	24386473			
163	-10	Региональный Кредит	1927	Костромская обл.	24119063	23050219	1068844	4.64
164	111	Генбанк	2490	Москва и обл.	24047811	9475951	14571860	153.78
165	27	Алмазэргиэнбанк	2602	Саха (Якутия)	23722139	17019120	6703019	39.39
166	31	Морской Банк	77	Москва и обл.	23470795	16417200	7053595	42.96
167	8	Платежный Центр	3166	Новосибирская обл.	22595297	19416566	3178731	16.37
168	63	СтарБанк	548	Москва и обл.	22542033	12836814	9705219	75.6
169	37	Энерготрансбанк	1307	Калининградская обл.	22457903	15669868	6788035	43.32
170	41	Ланта-Банк	1920	Москва и обл.	22210505	15378484	6832021	44.43
171	-12	Альта-Банк	2269	Москва и обл.	22109373	22365215	-255842	-1.14
172	99	СЭБ Банк	3235	Санкт-Петербург и обл.	21844262	9791640	12052622	123.09
173	1	Спурт Банк	2207	Татарстан	21729708	20139870	1589838	7.89
174	10	Аресбанк	2914	Москва и обл.	21250792	17818591	3432201	19.26
175	-7	ФИА-Банк	2542	Самарская обл.	20923758	20963897	-40139	-0.19
176	26	НБД-Банк	1966	Нижегородская обл.	20707831	15936472	4771359	29.94
177	114	Башкомснаббанк	1398	Башкортостан	20586166	8569313	12016853	140.23
178	11	Энергобанк	67	Татарстан	20537611	17321813	3215798	18.57
179	34	Нацинвестпромбанк	3077	Москва и обл.	20187058	15282789	4904269	32.09
180		Морган Стэнли Банк	3456	Москва и обл.	19892165			
181	80	Социнвестбанк	1132	Башкортостан	19551838	10303350	9248488	89.76
182	22	Курскпромбанк	735	Курская обл.	19453119	15756327	3696792	23.46
183	33	ВУЗ-Банк	1557	Свердловская обл.	19393559	15080819	4312740	28.6
184	-28	БМВ Банк	3482	Москва и обл.	18849048	22730847	-3881799	-17.08
185	72	Рублев	3098	Москва и обл.	18438727	10486250	7952477	75.84
186	-90	Банк Кредит Свисс	2494	Москва и обл.	18382752	45396565	-27013813	-59.51
187	54	Денизбанк Москва	3330	Москва и обл.	18122511	11913483	6209028	52.12
188	-8	Развитие-Столица	3013	Москва и обл.	18114870	18683403	-568533	-3.04
189	25	Алеф-Банк	2119	Москва и обл.	17602440	15260917	2341523	15.34
190	181	Тройка-Д Банк	3431	Москва и обл.	17445124	5537034	11908090	215.06
191	46	Расчетно-Кредитный Банк	103	Москва и обл.	17326725	12561800	4764925	37.93
192	68	НК Банк	2755	Москва и обл.	17293046	10339231	6953815	67.26
193	33	Хлынов	254	Кировская обл.	17115331	13406869	3708462	27.66
194	90	Данске Банк	3307	Санкт-Петербург и обл.	17016420	9011509	8004911	88.83
195	160	Ури Банк	3479	Москва и обл.	16495687	6040363	10455324	173.09
196	186	Джей энд Ти Банк	3061	Москва и обл.	16386128	5242071	11144057	212.59
197	26	Центркомбанк	2983	Москва и обл.	16315400	13824629	2490771	18.02
198	-12	Уралтрансбанк	812	Свердловская обл.	16268903	17490860	-1221957	-6.99
199	-21	Петербургский Социальный Коммерческий Банк	2551	Санкт-Петербург и обл.	15965475	18949629	-2984154	-15.75
200	76	Гарант-Инвест	2576	Москва и обл.	15846151	9457839	6388312	67.55
201	-1	Форштадт	2208	Оренбургская обл.	15437483	16112200	-674717	-4.19
202	47	Русский Ипотечный Банк	1968	Москва и обл.	15367377	11111628	4255749	38.3
203	-5	Норвик Банк	902	Кировская обл.	15312834	16372668	-1059834	-6.47
204	24	Гранд Инвест Банк	3053	Москва и обл.	15255556	13203122	2052434	15.55
205	43	Росавтобанк	2767	Москва и обл.	15164035	11154019	4010016	35.95
206	-94	Национальный Резервный Банк	2170	Москва и обл.	15069713	33780775	-18711062	-55.39
207	73	Темпбанк	55	Москва и обл.	15047169	9071234	5975935	65.88
208	19	Росдорбанк	1573	Москва и обл.	14985395	13324452	1660943	12.47
209	45	Акцепт	567	Новосибирская обл.	14932481	10584803	4347678	41.07
210	15	ТЭМБР-Банк	2764	Москва и обл.	14597257	13553565	1043692	7.7
211	139	Татсоцбанк	480	Татарстан	14567837	6120184	8447653	138.03
212	53	БайкалБанк	2632	Бурятия	14106854	10102529	4004325	39.64
213	663	Российская Финансовая Корпорация	3099	Москва и обл.	14035227	371644	13663583	3676.52
214	-66	ГПБ-Ипотека	2403	Москва и обл.	13827458	24107144	-10279686	-42.64
215	-36	Пойдем!	2534	Москва и обл.	13779409	18711513	-4932104	-26.36
216	102	Дил-Банк	3384	Москва и обл.	13707960	7453972	6253988	83.9
217	102	Финансовый Стандарт	1053	Москва и обл.	13456822	7410290	6046532	81.6
218	26	Прио-Внешторгбанк	212	Рязанская обл.	13008951	11537147	1471804	12.76
219	110	Агросоюз	1459	Москва и обл.	12992660	7006132	5986528	85.45
220	47	Нефтяной Альянс	2859	Москва и обл.	12900760	9921805	2978955	30.02
221	45	Международный Акционерный Банк	1987	Москва и обл.	12713317	9923102	2790215	28.12
222	17	Солидарность (Москва)	1555	Москва и обл.	12514847	12475429	39418	0.32
223	328	Инбанк	1829	Москва и обл.	12490582	2303950	10186632	442.14
224	171	Объединенный Кредитный Банк	1118	Ярославская обл.	12365067	4990028	7375039	147.8
225	87	Русьуниверсалбанк	3293	Москва и обл.	12348433	7691532	4656901	60.55
226	88	Солид Банк	1329	Камчатская обл.	12127937	7672070	4455867	58.08
227	72	КС Банк	1752	Мордовия	11599914	8133097	3466817	42.63
228	-29	Первомайский	518	Краснодарский край	11507303	16359847	-4852544	-29.66
229	152	Нижневолжский Коммерческий Банк	931	Саратовская обл.	11430471	5362121	6068350	113.17
230	215	Стратегия	2801	Москва и обл.	11425221	3681186	7744035	210.37
